source_id,title,short_title,authority,domain,subdomain,jurisdiction,country,document_type,source_url,download_url,language,publication_date,enactment_date,effective_date,version,status,access_type,license_notes,local_path,retrieved_at,sha256,file_size_bytes,content_available,notes
IND-PAT-ACT-1970,"The Patents Act, 1970",Patents Act,Government of India / India Code,PATENT,PATENT_LAW,INDIA,India,ACT,https://www.indiacode.nic.in/handle/123456789/1392,,en,,1970-09-19,1978-04-01,Official consolidated page,DISCOVERED,PUBLIC,Official legal text; Gazette prevails,dataset/raw/india_code/patents/patents_act_1970.pdf,,,,false,Direct file must be resolved from official landing page
IND-PAT-RULES-2003,"The Patents Rules, 2003",Patents Rules,Government of India / India Code,PATENT,PATENT_RULES,INDIA,India,RULES,https://www.indiacode.nic.in/handle/123456789/1392,https://upload.indiacode.nic.in/showfile?actid=AC_CEN_11_61_00002_197039_1517807321764&filename=The-Patents-Rules-2003-Updated-till-23-June-2017.pdf&type=rule,en,2003-05-02,,2003-05-02,Updated through 2017-06-23,FAILED,PUBLIC,Official e-version; Gazette prevails,dataset/raw/india_code/patents/patents_rules_2003.pdf,,,,false,"Not asserted current; later amendments listed on landing page | Download failed: official endpoint timed out after bounded retries"
IND-TM-ACT-1999,"The Trade Marks Act, 1999",Trade Marks Act,Government of India / India Code,TRADEMARK,TRADEMARK_LAW,INDIA,India,ACT,https://www.indiacode.nic.in/handle/123456789/1993,,en,,1999-12-30,,Official consolidated page,DISCOVERED,PUBLIC,Official legal text; Gazette prevails,dataset/raw/india_code/trademarks/trade_marks_act_1999.pdf,,,,false,Direct file pending discovery
IND-TM-RULES-2017,"The Trade Marks Rules, 2017",Trade Marks Rules,Government of India / India Code,TRADEMARK,TRADEMARK_RULES,INDIA,India,RULES,https://www.indiacode.nic.in/handle/123456789/1993,,en,2017-03-06,,2017-03-06,Official page,DISCOVERED,PUBLIC,Official legal text; Gazette prevails,dataset/raw/india_code/trademarks/trade_marks_rules_2017.pdf,,,,false,Direct file pending discovery
IND-GI-ACT-1999,"The Geographical Indications of Goods (Registration and Protection) Act, 1999",GI Act,Government of India / India Code,GI,GI_LAW,INDIA,India,ACT,https://www.indiacode.nic.in/handle/123456789/1981,,en,,1999-12-30,,Official consolidated page,DISCOVERED,PUBLIC,Official legal text; Gazette prevails,dataset/raw/india_code/gi/gi_act_1999.pdf,,,,false,Direct file pending discovery
IND-GI-RULES-2002,"The Geographical Indications of Goods (Registration and Protection) Rules, 2002",GI Rules,Government of India / India Code,GI,GI_RULES,INDIA,India,RULES,https://www.indiacode.nic.in/handle/123456789/1981,,en,2002-03-08,,2003-09-15,Official page,DISCOVERED,PUBLIC,Official legal text; Gazette prevails,dataset/raw/india_code/gi/gi_rules_2002.pdf,,,,false,Direct file pending discovery
IND-CR-ACT-1957,"The Copyright Act, 1957",Copyright Act,Government of India / India Code,COPYRIGHT,COPYRIGHT_LAW,INDIA,India,ACT,https://www.indiacode.nic.in/indiacode/handle/123456789/1367,,en,,1957-06-04,,Official consolidated page,DISCOVERED,PUBLIC,Official legal text; Gazette prevails,dataset/raw/india_code/copyright/copyright_act_1957.pdf,,,,false,Direct file pending discovery
IND-DES-ACT-2000,"The Designs Act, 2000",Designs Act,Government of India / India Code,DESIGN,DESIGN_LAW,INDIA,India,ACT,https://www.indiacode.nic.in/indiacode/handle/123456789/1917,,en,,2000-05-25,,Official consolidated page,DISCOVERED,PUBLIC,Official legal text; Gazette prevails,dataset/raw/india_code/designs/designs_act_2000.pdf,,,,false,Direct file pending discovery
IND-DES-RULES-2001,"The Designs Rules, 2001",Designs Rules,Government of India / India Code,DESIGN,DESIGN_RULES,INDIA,India,RULES,https://www.indiacode.nic.in/indiacode/handle/123456789/1917,,en,2001-05-11,,2001-05-11,Official page,DISCOVERED,PUBLIC,Official legal text; Gazette prevails,dataset/raw/india_code/designs/designs_rules_2001.pdf,,,,false,Direct file pending discovery
IND-PPV-ACT-2001,"The Protection of Plant Varieties and Farmers' Rights Act, 2001",PPVFR Act,Government of India / India Code,PLANT_VARIETY,PLANT_VARIETY_LAW,INDIA,India,ACT,https://www.indiacode.nic.in/handle/123456789/1909,,en,,2001-10-30,,Official consolidated page,DISCOVERED,PUBLIC,Official legal text; Gazette prevails,dataset/raw/india_code/ppvfr/ppvfr_act_2001.pdf,,,,false,Direct file pending discovery
IND-PPV-RULES-2003,"The Protection of Plant Varieties and Farmers' Rights Rules, 2003",PPVFR Rules,Government of India / India Code,PLANT_VARIETY,PLANT_VARIETY_RULES,INDIA,India,RULES,https://www.indiacode.nic.in/handle/123456789/1909,,en,2003-09-12,,2003-09-12,Official page,DISCOVERED,PUBLIC,Official legal text; Gazette prevails,dataset/raw/india_code/ppvfr/ppvfr_rules_2003.pdf,,,,false,Direct file pending discovery
IND-BD-ACT-2002,"The Biological Diversity Act, 2002",Biodiversity Act,Government of India / India Code,ABS,BIODIVERSITY_LAW,INDIA,India,ACT,https://www.indiacode.nic.in/handle/123456789/18553,,en,,2003-02-05,,Official consolidated page,DISCOVERED,PUBLIC,Official legal text; Gazette prevails,dataset/raw/india_code/biodiversity/biological_diversity_act_2002.pdf,,,,false,Direct file pending discovery
IND-BD-AMEND-2023,"The Biological Diversity (Amendment) Act, 2023",Biodiversity Amendment,National Biodiversity Authority,ABS,BIODIVERSITY_LAW,INDIA,India,AMENDMENT_ACT,https://nbaindia.org/,,,2023-08-03,2023-08-03,,Official NBA publication,DISCOVERED,PUBLIC,Official public material,dataset/raw/nba/biological_diversity_amendment_act_2023.pdf,,,,false,NBA homepage confirms availability; direct file pending
IND-BD-RULES-2024,"The Biological Diversity Rules, 2024",Biodiversity Rules,National Biodiversity Authority,ABS,ABS_RULES,INDIA,India,RULES,https://nbaindia.org/,,,2024-10-22,,2024-10-22,Official NBA publication,DISCOVERED,PUBLIC,Official public material,dataset/raw/nba/biological_diversity_rules_2024.pdf,,,,false,NBA homepage confirms availability; direct file pending
IND-FSS-AA-2022,"Food Safety and Standards (Ayurveda Aahara) Regulations, 2022",Ayurveda Aahara Regulations,Food Safety and Standards Authority of India,FOOD,AYURVEDA_AAHARA,INDIA,India,REGULATIONS,https://www.fssai.gov.in/,https://fssai.gov.in/upload/notifications/2022/05/62789a20b54bdGazette_Notification_Ayurveda_Aahara_09_05_2022.pdf,en,2022-05-05,,2022-05-05,Original gazette notification,FAILED,PUBLIC,Official Gazette notification hosted by FSSAI,dataset/raw/fssai/ayurveda_aahara_regulations_2022.pdf,,,,false,Amendments must be tracked separately | Download failed: endpoint returned HTML instead of PDF
IND-AYUSH-2024,Ayush in India 2024,Ayush in India,Ministry of Ayush,AYURVEDA,OFFICIAL_STATISTICS,INDIA,India,REPORT,https://ayush.gov.in/,https://ayush.gov.in/assets/pdf/whatsnew/Approved-Ayush-in-India-2024-Single.pdf,en,2025-01-01,,,2024 edition,PROCESSED,PUBLIC,Official ministry publication,dataset/raw/ayush/ayush_in_india_2024.pdf,2026-08-28T04:58:43.808536+00:00,a82908deb4f9f2b4b940823f1bbf292396e566f78dcf7d432fc2065985e52b40,9700190,true,Publication date approximate to edition release; verify from document
IND-AYUSH-AR-2024-25,Ministry of Ayush Annual Report 2024-25,Ayush Annual Report,Ministry of Ayush,AYURVEDA,POLICY_AND_STANDARDS,INDIA,India,REPORT,https://ayush.gov.in/,https://ayush.gov.in/assets/pdf/annualReport/Annual-Report24-25_English.pdf,en,2025-01-01,,,2024-25,PROCESSED,PUBLIC,Official ministry publication,dataset/raw/ayush/annual_report_2024_25.pdf,2026-08-28T04:58:52.157853+00:00,5f7ef5c0dc71c4bb77e6a4f2c88732be1c914db25de46086ded1fcb71526b2bd,13394044,true,Useful official context; not a pharmacopoeial monograph
IND-TKDL-REGISTRY,Traditional Knowledge Digital Library,TKDL,CSIR / Ministry of Ayush,TKDL,TRADITIONAL_KNOWLEDGE,INDIA,India,RESTRICTED_DATABASE,https://www.tkdl.res.in/,,en,,,,Current service,RESTRICTED,RESTRICTED,Do not scrape or bypass access controls,dataset/raw/tkdl/,,,,false,Registry metadata only
INT-TRIPS-1994,Agreement on Trade-Related Aspects of Intellectual Property Rights,TRIPS,World Trade Organization,INTERNATIONAL,MULTILATERAL_IP,INTERNATIONAL,,TREATY,https://www.wto.org/english/docs_e/legal_e/27-trips_e.htm,,en,1994-04-15,,1995-01-01,Official WTO legal text,DISCOVERED,PUBLIC,Official WTO treaty text,dataset/raw/wipo/trips_agreement.html,,,,false,HTML ingestion permitted; download pending
INT-WIPO-PARIS,Paris Convention for the Protection of Industrial Property,Paris Convention,World Intellectual Property Organization,INTERNATIONAL,INDUSTRIAL_PROPERTY,INTERNATIONAL,,TREATY,https://www.wipo.int/en/web/treaties/ip/paris/index,,en,1883-03-20,1883-03-20,,As amended 1979,DISCOVERED,PUBLIC,Official WIPO treaty text,dataset/raw/wipo/paris_convention.pdf,,,,false,Direct PDF pending discovery
INT-WIPO-PCT,Patent Cooperation Treaty,PCT,World Intellectual Property Organization,INTERNATIONAL,PATENT_COOPERATION,INTERNATIONAL,,TREATY,https://www.wipo.int/en/web/pct-system/texts/index,,en,1970-06-19,1970-06-19,1978-01-24,In force from 2002-04-01,DISCOVERED,PUBLIC,Official WIPO treaty text,dataset/raw/wipo/pct.pdf,,,,false,Direct PDF pending discovery
INT-WIPO-MADRID,Protocol Relating to the Madrid Agreement Concerning the International Registration of Marks,Madrid Protocol,World Intellectual Property Organization,INTERNATIONAL,TRADEMARK_REGISTRATION,INTERNATIONAL,,TREATY,https://www.wipo.int/en/web/treaties/registration/madrid_protocol/index,,en,1989-06-27,1989-06-27,1995-12-01,Amended 2007-11-12,DISCOVERED,PUBLIC,Official WIPO treaty text,dataset/raw/wipo/madrid_protocol.pdf,,,,false,Direct PDF pending discovery
