source_id,document_id,title,domain,jurisdiction,document_type,expected_authority,current_source_url,current_status,verification_status,verification_notes
IND-PAT-ACT-1970,IND-PAT-ACT-1970,"The Patents Act, 1970",PATENT,INDIA,ACT,Government of India / IP India,https://ipindia.gov.in/resource/patents-resources-act,LEGACY_UNVERIFIED_RAW_MISSING,VERIFIED,"Official IP India PDF downloaded; sha256=d57084888c69d70b16ed6a52a612363a526994203effa58880a26faaaa6e0678; 69 pages; readable text; identity checks passed."
IND-PAT-RULES-2003,IND-PAT-RULES-2003,"The Patents Rules, 2003",PATENT,INDIA,RULES,Government of India / India Code,https://www.indiacode.nic.in/handle/123456789/1392,LEGACY_UNVERIFIED_RAW_MISSING,REQUIRES_MANUAL_DOWNLOAD,"India Code official upload endpoint was unreachable; an IP India PDF candidate was a 2024 gazette/amendment and was rejected; IP India HTML candidate was only a short landing page. Legacy chunks intentionally retained."
IND-TM-ACT-1999,IND-TM-ACT-1999,"The Trade Marks Act, 1999",TRADEMARK,INDIA,ACT,Government of India / IP India,https://ipindia.gov.in/trade-marks-resources-act,LEGACY_UNVERIFIED_RAW_MISSING,VERIFIED,"Official IP India PDF downloaded; sha256=07aa58f3262a4d764c087577b2d49c7de0f4f49a392818aa9bc38c0dba620f1f; 51 pages; readable text; identity checks passed."
IND-TM-RULES-2017,IND-TM-RULES-2017,"The Trade Marks Rules, 2017",TRADEMARK,INDIA,RULES,Government of India / IP India,https://ipindia.gov.in/trade-marks-resources-rules,LEGACY_UNVERIFIED_RAW_MISSING,VERIFIED,"Official IP India PDF downloaded; sha256=b858aa6874a4373be03b1ee3a7a926f9f7b79dc7a15dbffdc2109cf6c3a33e92; 97 pages; readable text; identity checks passed."
IND-GI-ACT-1999,IND-GI-ACT-1999,"The Geographical Indications of Goods (Registration and Protection) Act, 1999",GI,INDIA,ACT,Government of India / IP India,https://ipindia.gov.in/page-content/geographical-indications-act-1999,LEGACY_UNVERIFIED_RAW_MISSING,VERIFIED,"Official IP India HTML text downloaded; sha256=1b55c886639e5b2434cefe9e48914dddd01cb18303cc0bdc4ca9c6ae3825c68f; readable text; identity checks passed."
IND-GI-RULES-2002,IND-GI-RULES-2002,"The Geographical Indications of Goods (Registration and Protection) Rules, 2002",GI,INDIA,RULES,Government of India / IP India,https://ipindia.gov.in/geographical-indications-resources-rules,LEGACY_UNVERIFIED_RAW_MISSING,VERIFIED,"Official IP India PDF downloaded; sha256=61f79666a010ec619de7b1317607143ef570505ba36210d5f87b3236d9fe3450; 71 pages; readable text; identity checks passed."
IND-CR-ACT-1957,IND-CR-ACT-1957,"The Copyright Act, 1957",COPYRIGHT,INDIA,ACT,Government of India / IP India,https://ipindia.gov.in/copyright-resources-act,LEGACY_UNVERIFIED_RAW_MISSING,VERIFIED,"Official IP India PDF downloaded; sha256=8c70b510270272bde44cc0a48809a4af2ff282d26b5da627b57e49d7a3738e54; 57 pages; readable text; identity checks passed."
IND-CR-RULES-2013,IND-CR-RULES-2013,"The Copyright Rules, 2013",COPYRIGHT,INDIA,RULES,Government of India,https://copyright.gov.in/Copyright_Rules_2013/index.html,LEGACY_UNVERIFIED_RAW_MISSING,REQUIRES_INGESTION_REPAIR,"Official copyright.gov.in source is chapterized HTML index; no single verified raw artifact was available. A 3 KB index-only download was rejected; legacy chunks intentionally retained."
IND-DES-ACT-2000,IND-DES-ACT-2000,"The Designs Act, 2000",DESIGN,INDIA,ACT,Government of India / IP India,https://ipindia.gov.in/the-designs-act-2000,LEGACY_UNVERIFIED_RAW_MISSING,VERIFIED,"Official IP India HTML text downloaded; sha256=71344c6d470a5627b9ea05cb29ea76360993d8d8ea3a7c01aabfed5313a7f902; readable text; identity checks passed."
IND-DES-RULES-2001,IND-DES-RULES-2001,"The Designs Rules, 2001",DESIGN,INDIA,RULES,Government of India / IP India,https://ipindia.gov.in/acts/designs-rules-2001,LEGACY_UNVERIFIED_RAW_MISSING,VERIFIED,"Official IP India HTML text downloaded; sha256=ee45508947035c084ec953c6635cf09812c8c9ecc9c28883e4227e2d27205cdc; readable text; identity checks passed."
IND-PPV-ACT-2001,IND-PPV-ACT-2001,"The Protection of Plant Varieties and Farmers' Rights Act, 2001",PLANT_VARIETY,INDIA,ACT,Protection of Plant Varieties and Farmers' Rights Authority,https://plantauthority.gov.in/acts-rules,LEGACY_UNVERIFIED_RAW_MISSING,VERIFIED,"Official PPVFR Authority PDF downloaded; sha256=24873381a20faead56285b48a7eb898586fd46e90b0cbb77dd515ab38921806e; 50 pages; readable text; identity checks passed."
IND-PPV-RULES-2003,IND-PPV-RULES-2003,"The Protection of Plant Varieties and Farmers' Rights Rules, 2003",PLANT_VARIETY,INDIA,RULES,Protection of Plant Varieties and Farmers' Rights Authority,https://plantauthority.gov.in/acts-rules,LEGACY_UNVERIFIED_RAW_MISSING,VERIFIED,"Official PPVFR Authority PDF downloaded; sha256=d0c1d6cd792deafae225e92524480fd54063aa453eecfd2ce05e20e88a212e25; 56 pages; readable text; identity checks passed."
IND-BD-ACT-2002,IND-BD-ACT-2002,"The Biological Diversity Act, 2002",ABS,INDIA,ACT,Government of India / WIPO Lex,https://www.wipo.int/wipolex/en/text/185798,LEGACY_UNVERIFIED_RAW_MISSING,VERIFIED_WITH_CAVEAT,"Full WIPO Lex original Act text downloaded; sha256=52248d2135c5ea5d9c1dfe4e563ba17da07347387cd10c93cc50f837e463276c; readable text; caveat: original Act text, not a 2023-amended consolidated India Code source."
IND-BD-AMEND-2023,IND-BD-AMEND-2023,"The Biological Diversity (Amendment) Act, 2023",ABS,INDIA,AMENDMENT_ACT,Ministry of Environment Forest and Climate Change,https://moef.gov.in/,LEGACY_UNVERIFIED_RAW_MISSING,VERIFIED,"Official MoEFCC PDF downloaded; sha256=03af902a2b3ea88b100b60cf59e7ae067fa25f9d445368b9078dce1ad8a53892; 15 pages; readable text; identity checks passed."
IND-BD-RULES-2024,IND-BD-RULES-2024,"The Biological Diversity Rules, 2024",ABS,INDIA,RULES,Government of India / India Code,https://indiacode.ecourtsindia.com/rules/07592f36/,LEGACY_UNVERIFIED_RAW_MISSING,VERIFIED,"Official India Code source PDF downloaded; sha256=ef8a2bfb84d6dde43d53e1dc750d8b0701a255d4897dccfb9aa2d26ada6615a1; 86 pages; readable text; identity checks passed."
IND-AYUSH-2024,IND-AYUSH-2024,Ayush in India 2024,AYURVEDA,INDIA,REPORT,Ministry of Ayush,https://ayush.gov.in/assets/pdf/whatsnew/Approved-Ayush-in-India-2024-Single.pdf,LEGACY_UNVERIFIED_RAW_MISSING,VERIFIED,"Official Ministry of Ayush PDF downloaded; sha256=a82908deb4f9f2b4b940823f1bbf292396e566f78dcf7d432fc2065985e52b40; 326 pages; readable text; identity checks passed."
IND-AYUSH-AR-2024-25,IND-AYUSH-AR-2024-25,Ministry of Ayush Annual Report 2024-25,AYURVEDA,INDIA,REPORT,Ministry of Ayush,https://ayush.gov.in/assets/pdf/annualReport/Annual-Report24-25_English.pdf,LEGACY_UNVERIFIED_RAW_MISSING,VERIFIED,"Official Ministry of Ayush PDF downloaded; sha256=5f7ef5c0dc71c4bb77e6a4f2c88732be1c914db25de46086ded1fcb71526b2bd; 215 pages; readable text; identity checks passed."
INT-TRIPS-1994,INT-TRIPS-1994,Agreement on Trade-Related Aspects of Intellectual Property Rights,INTERNATIONAL,INTERNATIONAL,TREATY,World Trade Organization / WIPO Lex,https://www.wipo.int/wipolex/en/text/305907,LEGACY_UNVERIFIED_RAW_MISSING,VERIFIED_WITH_CAVEAT,"Full WIPO Lex HTML treaty text downloaded; sha256=d67ea702afcfdc67e0dff4ac15de32ff0f27045152b70c52a5f5de99f9479262; readable text; caveat: WTO page is authoritative but says reproduced texts lack legal standing."
INT-WIPO-PARIS,INT-WIPO-PARIS,Paris Convention for the Protection of Industrial Property,INTERNATIONAL,INTERNATIONAL,TREATY,World Intellectual Property Organization,https://www.wipo.int/wipolex/en/text/287556,LEGACY_UNVERIFIED_RAW_MISSING,VERIFIED,"Official WIPO Lex PDF downloaded; sha256=57b56e8aec7c7d302300ec115e9bd8792d8adcfda063be7341dfd42cc53d3b73; 20 pages; readable text; identity checks passed."
INT-WIPO-PCT,INT-WIPO-PCT,Patent Cooperation Treaty,INTERNATIONAL,INTERNATIONAL,TREATY,World Intellectual Property Organization,https://www.wipo.int/wipolex/en/text/288637,LEGACY_UNVERIFIED_RAW_MISSING,VERIFIED,"Official WIPO Lex PDF downloaded; sha256=5a406afd0c360749d3af10e3d403dd679e5c371a61004c799283543c61fd08a6; 52 pages; readable text; identity checks passed."
INT-WIPO-MADRID,INT-WIPO-MADRID,Protocol Relating to the Madrid Agreement Concerning the International Registration of Marks,INTERNATIONAL,INTERNATIONAL,TREATY,World Intellectual Property Organization,https://www.wipo.int/wipolex/en/text/283484,LEGACY_UNVERIFIED_RAW_MISSING,VERIFIED,"Official WIPO Lex HTML text downloaded; sha256=e5148cd03eccc5524a7f3c142085f4b34681e61107d0f1595ea350039a4427b2; readable text; identity checks passed."
INT-WIPO-BUDAPEST,INT-WIPO-BUDAPEST,Budapest Treaty on the International Recognition of the Deposit of Microorganisms for the Purposes of Patent Procedure,INTERNATIONAL,INTERNATIONAL,TREATY,World Intellectual Property Organization,https://www.wipo.int/wipolex/en/text/283784,LEGACY_UNVERIFIED_RAW_MISSING,VERIFIED,"Official WIPO Lex HTML text downloaded; sha256=b32b6b4716d9cfb10e47e5110a830059280cb02cc5ec2b79b59deb599f1469a8; readable text; identity checks passed."
INT-WIPO-GRATK-2024,INT-WIPO-GRATK-2024,WIPO Treaty on Intellectual Property Genetic Resources and Associated Traditional Knowledge,INTERNATIONAL,INTERNATIONAL,TREATY,World Intellectual Property Organization,https://www.wipo.int/wipolex/en/text/592504,LEGACY_UNVERIFIED_RAW_MISSING,VERIFIED,"Official WIPO Lex HTML text downloaded; sha256=92d66b12d349426f53f2192518757372424587096972cd19e3e6ed451f1fe304; readable text; identity checks passed; treaty adopted but entry into force still pending."
